row_id,origin,analyst_event_type,subject_ref,subject_name,row_count,bidder_name,bidder_type,bid_type,value,range_low,range_high,enterprise_value,date_precision,date_recorded,date_public,date_sort_proxy,all_cash,rule_id,source_observation_ids,source_span_ids,confidence,review_flags,explanation
row_0021,literal,ib_retention,advisor_morgan_stanley,Morgan Stanley & Co. LLC,1,Morgan Stanley & Co. LLC,NA,NA,NA,NA,NA,NA,exact_day,2013-07-26 00:00:00,2013-07-26 00:00:00,NA,NA,LITERAL-PROCESS,obs_evt_028,span_0041,high,NA,Literal process observation compiled directly into analyst row.
row_0022,literal,executed,bidder_hudsons_bay,Hudson's Bay,1,Hudson's Bay,S,NA,NA,NA,NA,NA,exact_day,2013-07-28 00:00:00,2013-07-28 00:00:00,NA,NA,LITERAL-OUTCOME,obs_evt_029,span_0042|span_0043|span_0044,high,NA,Literal outcome observation compiled directly into analyst row.
row_0023,literal,sale_press_release,bidder_hudsons_bay,Hudson's Bay,1,Hudson's Bay,S,NA,NA,NA,NA,NA,exact_day,2013-07-29 00:00:00,2013-07-29 00:00:00,NA,NA,LITERAL-PROCESS,obs_evt_030,span_0045,high,NA,Literal process observation compiled directly into analyst row.
row_0024,literal,nda,bidder_company_i,Company I,1,Company I,NA,NA,NA,NA,NA,NA,exact_day,2013-09-06 00:00:00,2013-09-06 00:00:00,NA,NA,LITERAL-AGREEMENT,obs_evt_032,span_0047,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0001,literal,bidder_interest,bidder_sponsor_a,Sponsor A,1,Sponsor A,F,NA,NA,NA,NA,NA,month,NA,NA,2013-02-15 00:00:00,NA,LITERAL-STATUS,obs_evt_001,span_0002,high,NA,Literal expressed-interest status compiled directly into analyst row.
row_0013,literal,bidder_interest,bidder_company_f,Company F,1,Company F,S,NA,NA,NA,NA,NA,range,NA,NA,2013-06-10 00:00:00,NA,LITERAL-STATUS,obs_evt_013,span_0018,high,NA,Literal expressed-interest status compiled directly into analyst row.
row_0003,literal,proposal,bidder_hudsons_bay,Hudson's Bay,1,Hudson's Bay,S,Uncertain,15,NA,NA,NA,range,NA,NA,2013-04-15 00:00:00,1,LITERAL-PROPOSAL,obs_evt_004,span_0008|span_0009,high,NA,Literal proposal observation compiled directly into analyst row.
row_0004,literal,proposal,bidder_sponsor_a,Sponsor A,1,Sponsor A,F,Uncertain,15,NA,NA,NA,range,NA,NA,2013-04-15 00:00:00,1,LITERAL-PROPOSAL,obs_evt_005,span_0008|span_0009|span_0010,high,NA,Literal proposal observation compiled directly into analyst row.
row_0010,literal,proposal,bidder_hudsons_bay,Hudson's Bay,1,Hudson's Bay,S,Uncertain,NA,15,15.25,NA,range,NA,NA,2013-06-03 00:00:00,NA,LITERAL-PROPOSAL,obs_evt_010,span_0016,high,NA,Literal proposal observation compiled directly into analyst row.
row_0011,synthetic_anonymous,proposal,cohort_sponsor_a_e,Sponsor A and Sponsor E joint bidder group,2,Sponsor A and Sponsor E joint bidder group,NA,Uncertain,NA,15,16,NA,range,NA,NA,2013-06-03 00:00:00,NA,LITERAL-PROPOSAL,obs_evt_011,span_0016,high,NA,Literal proposal observation compiled directly into analyst row.
row_0031,literal,drop,bidder_sponsor_a,Sponsor A,1,Sponsor A,F,NA,NA,NA,NA,NA,month_early,NA,NA,2013-07-05 00:00:00,NA,EXIT-01,obs_evt_015,span_0020,high,NA,Literal status observation recorded bidder withdrawal or non-participation.
row_0033,derived,drop,bidder_sponsor_a,Sponsor A,1,Sponsor A,F,NA,NA,NA,NA,NA,range,NA,NA,2013-07-22 00:00:00,NA,EXIT-02,obs_evt_022,span_0032,high,reason:cannot_improve,Status observation explicitly said the bidder could not improve.
